ID,NAME
841,Non Veg Supreme Pizza
842,Paneer Malai Pizza
843,Paneer Spice Supreme Pizza
844,Pepper Barbeque Chicken Pizza
845,Peppy Paneer Pizza
846,Peppy Paneer Tikka
847,Primavera Gourmet Pizza
848,Smoked Chicken Gourmet Pizza
849,Spiced Double Chicken Pizza
850,The 4 Cheese Gourmet Pizza
851,The 4 Cheese Pizza
852,The 5 Feast Chicken Pizza
853,Veg Extravaganza Pizza
854,Veggie Buddies Pizza
855,Veggie Fiesta Pizza
856,Veggie Paradise Pizza
857,Donne Egg Biryani
858,Donne Mushroom Biryani
859,Donne Veg Biryani
860,Dosa
861,Double Chicken Treat Semizza
862,Double Chocolate Doughnut
863,Double Chocolate Waffle
864,Double Egg
865,Double Ka Meetha
866,Doughnut
867,Dragon Chicken
868,Dragon Chicken Biryani
869,Dragon Gobi
870,Dragon Paneer
871,Dragon Potato
872,Dragon Style
873,Dry Fruit
874,Dry Fruit Bhel Puri
875,Dry Fruit Kulfi
876,Dry Fruit Lassi
877,Dry Fruit Sundae
878,Dry Fruits Pulao
879,Dryfruit Milkshake
880,Dudhi Halva
881,Dugga Dugga
882,Dulce De Leche
883,Dum Aloo Curry
884,Dum Biriyani
885,Dum Biriyani - Chicken
886,Egg
887,Egg Appam
888,Egg Bajji
889,Egg Bhurji
890,Egg Biryani
891,Egg Bonda
892,Egg Burger
893,Egg Cheese Sandwich
894,Egg Chicken
895,Egg Chilli
896,Egg Chilli Cheese Sandwich
897,Egg Chilli Garlic Noodles
898,Egg Chop
899,Egg Club Cheese Sandwich
900,Egg Club Sandwich
901,Egg Corn Sandwich
902,Egg Croissant
903,Egg Curry
904,Egg Devil
905,Egg Dinner
906,Egg Dosa
907,Egg Fatheera
908,Egg Fried Rice
909,Egg Hakka Noodles
910,Egg Hot Dog
911,Egg Kothu Parotta
912,Egg Kuska Biryani
913,Egg Lollipop
914,Egg Maggi
915,Egg Masala
916,Egg Masala Maggi
917,Egg Masala Dosa
918,Egg Masala Sandwich
919,Egg Mayo Sandwich
920,Egg Mushroom Roll
921,Egg Noodles
922,Egg Oriental Salad
923,Egg Pakora
924,Egg Paneer
925,Egg Paniyaram
926,Egg Paratha
927,Egg Podi Dosa
928,Egg Puff
929,Egg Rice Bowl
930,Egg Roast
931,Egg Roll
932,Egg Salad
933,Egg Sandwich
934,Egg Schezwan Fried Rice
935,Egg Schezwan Noodles
936,Egg Singapore Noodles
937,Egg Soup
938,Egg Wrap
939,Egga Masala Cheese Sandwich
940,Eggless Cardamom Pistachio Cake
941,Eggless Cupcakes
942,Ela Ada
943,Elaichi Chai Tea
944,Elanchi
945,Elayada
946,Elayappam
947,Ellu Kobbari Sadam
948,Enna Pathiri
949,Espresso
950,Extra Cheese
951,Extra Rice
952,Extra Sweet
953,Fajita Wrap
954,Falafel
955,Falafel Roll
956,Falafel Vada
957,Falooda
958,Falooda Delight
959,Farfalle pasta
960,Fiery Hot Peri Peri Maggi
961,Fig
962,Fig Milkshake
963,Filter Coffee
964,Fish
965,Fish Biriyani
966,Fish Biryani
967,Fish Curry
968,Fish Cutlet
969,Fish Dinner
970,Fish Finger
971,Fish Fried Kebab
972,Fish Fry
973,Fish Fry Meals
974,Fish Manchurian
975,Fish Meals
976,Fish Mulaku Curry
977,Fish Omelette
978,Fish Paturi
979,Fish Podimas
980,Fish Polichathu
981,Fish Poth Chori
982,Fish Pulusu
983,Fish Tandoori
984,Fish Tandoori Kebab
985,Fish Tawa Kebab
986,Fish and Chips
987,Flavoured Croissant
988,Flavoured Lassi
989,Flavoured Rice
990,Focaccia Bread
991,Formaggio Pasta
992,Frankie Roll
993,French Fries
994,French Toast
995,French Vanilla Soft clair
996,Fresh Lime Juice
997,Fresh Lime Soda
998,Fried Cheese Momo
999,Fried Chicken Biryani
1000,Fried Chicken Wings
1001,Fried Chicken Rice
1002,Fried Egg
1003,Fried Egg Pasta
1004,Fried Idli
1005,Fried Paneer Momo
1006,Fried Pav Bhaji
1007,Fried Rice
1008,Fruit Cake Slice
1009,Fruit Custard
1010,Fruit Custard Falooda
1011,Fruit Plate
1012,Fruit Lassi
1013,Fruit Salad
1014,Fruit Smoothie
1015,Fudgy Choconut
1016,Gajar Halwa
1017,Galangal Infused Thai Curry
1018,Garden Fresh Veggie Pizza
1019,Garden Veg
1020,Garlic Bread
1021,Garlic Butter Dosa
1022,Garlic Cheese Toast
1023,Garlic Chicken
1024,Garlic Chicken Wing
1025,Garlic Egg Toast
1026,Garlic Fish Curry
1027,Garlic Pinwheel
1028,Ghee Cookies
1029,Ghee Dosa
1030,Ghee Idli
1031,Ghee Jeera Pulao
1032,Ghee Karam Dosa
1033,Ghee Laddu
1034,Ghee Masala Dosa
1035,Ghee Onion Dosa
1036,Ghee Onion Podi Dosa
1037,Ghee Onion Roast Dosa
1038,Ghee Podi Dosa
1039,Ghee Pongal
1040,Ghee Rice
1041,Ghee Roast Dosa
1042,Ghee Set Dosa
1043,Ghee Vada
1044,Ghugni
1045,Ginger
